songID,name,artists,link,popularity,danceability,energy,acousticness,instrumentalness,liveness,valence,genres
383Xl5QTigwj3QiA3Qc6S7,The Devil Went Down to Georgia,The Charlie Daniels Band,https://open.spotify.com/track/383Xl5QTigwj3QiA3Qc6S7,67,0.523,0.626,0.155,0,0.0869,0.917,"country, rock, pop"
0mflMxspEfB0VbI1kyLiAv,Stick Season,Noah Kahan,https://open.spotify.com/track/0mflMxspEfB0VbI1kyLiAv,90,0.664,0.5,0.799,0,0.0966,0.801,"indie, pop, singer-songwriter"
6HSXNV0b4M4cLJ7ljgVVeh,Knockin' On Heaven's Door,Bob Dylan,https://open.spotify.com/track/6HSXNV0b4M4cLJ7ljgVVeh,78,0.513,0.396,0.251,0.177,0.11,0.229,"rock, singer-songwriter, singer songwriter, soul"
6UkMcAA19lTdjs22jtB7o2,Big Yellow Taxi,Joni Mitchell,https://open.spotify.com/track/6UkMcAA19lTdjs22jtB7o2,62,0.611,0.47,0.585,0,0.58,0.97,"singer-songwriter, rock, pop, singer songwriter, indie"
2M9ro2krNb7nr7HSprkEgo,Fast Car,Tracy Chapman,https://open.spotify.com/track/2M9ro2krNb7nr7HSprkEgo,80,0.711,0.292,0.313,0,0.131,0.194,"singer-songwriter, pop, rock, soul, indie"
35PKfoynRpVFoAUE3D5Kc6,Work Song,Hozier,https://open.spotify.com/track/35PKfoynRpVFoAUE3D5Kc6,73,0.433,0.388,0.776,0,0.112,0.262,"soul, singer-songwriter, pop, indie"
7N2PNxzZXxCdAHiAfsklhT,"Check Yes, Juliet",We The Kings,https://open.spotify.com/track/7N2PNxzZXxCdAHiAfsklhT,69,0.352,0.912,0.00197,0,0.193,0.351,"pop punk, rock, pop, indie"
6GG73Jik4jUlQCkKg9JuGO,The Middle,Jimmy Eat World,https://open.spotify.com/track/6GG73Jik4jUlQCkKg9JuGO,82,0.643,0.849,0.0371,0,0.058,0.903,"rock, indie, pop punk, pop, Pop-punk"
0JJP0IS4w0fJx01EcrfkDe,"Dear Maria, Count Me In",All Time Low,https://open.spotify.com/track/0JJP0IS4w0fJx01EcrfkDe,75,0.459,0.895,0.00725,0,0.206,0.572,"pop punk, rock, indie, pop, Pop-punk"
6otiaV2fagE3s8IvP6WkwG,I'm Just a Kid,Simple Plan,https://open.spotify.com/track/6otiaV2fagE3s8IvP6WkwG,71,0.527,0.834,0.00107,0.000102,0.0993,0.422,"rock, pop punk, pop, Pop-punk, indie"
5oQcOu1omDykbIPSdSQQNJ,1985,Bowling For Soup,https://open.spotify.com/track/5oQcOu1omDykbIPSdSQQNJ,70,0.606,0.887,0.000242,0,0.337,0.903,"rock, pop punk, pop, Pop-punk, indie"
1k1Bqnv2R0uJXQN4u6LKYt,Ain't No Sunshine,Bill Withers,https://open.spotify.com/track/1k1Bqnv2R0uJXQN4u6LKYt,83,0.527,0.415,0.457,1.72E-05,0.117,0.515,"soul, pop, singer-songwriter, rock"
3SdTKo2uVsxFblQjpScoHy,Stand By Me,Ben E. King,https://open.spotify.com/track/3SdTKo2uVsxFblQjpScoHy,76,0.65,0.306,0.57,7.07E-06,0.0707,0.605,"soul, pop, rock, singer-songwriter"
7s25THrKz86DM225dOYwnr,Respect,Aretha Franklin,https://open.spotify.com/track/7s25THrKz86DM225dOYwnr,74,0.805,0.558,0.164,2.20E-05,0.0546,0.965,"soul, pop, rock"
0Q0IVlqMV64kNLlwjPj0Hl,Killing Me Softly With His Song,"Fugees,Ms. Lauryn Hill",https://open.spotify.com/track/0Q0IVlqMV64kNLlwjPj0Hl,77,0.765,0.289,0.0268,1.77E-06,0.562,0.501,
6Rqn2GFlmvmV4w9Ala0I1e,Feeling Good,Nina Simone,https://open.spotify.com/track/6Rqn2GFlmvmV4w9Ala0I1e,72,0.451,0.326,0.863,0,0.192,0.55,"soul, pop, singer-songwriter"
7ACxUo21jtTHzy7ZEV56vU,Crazy Train,Ozzy Osbourne,https://open.spotify.com/track/7ACxUo21jtTHzy7ZEV56vU,76,0.454,0.913,0.408,0.000271,0.248,0.521,"metal, rock"
4OROzZUy6gOWN4UGQVaZMF,The Trooper - 2015 Remaster,Iron Maiden,https://open.spotify.com/track/4OROzZUy6gOWN4UGQVaZMF,71,0.285,0.908,0.0318,0.00909,0.311,0.669,metal
7txxAtOMwLLnQTpKeBL6bp,Mother,Danzig,https://open.spotify.com/track/7txxAtOMwLLnQTpKeBL6bp,71,0.365,0.763,0.00726,0.000457,0.0865,0.342,"metal, rock, indie, pop"
3pKsUMqpVr4ZJ13Mm91Xig,Down for Life,Testament,https://open.spotify.com/track/3pKsUMqpVr4ZJ13Mm91Xig,59,0.344,0.955,5.40E-06,0.111,0.0665,0.352,metal
1hlveB9M6ijHZRbzZ2teyh,We're Not Gonna Take It,Twisted Sister,https://open.spotify.com/track/1hlveB9M6ijHZRbzZ2teyh,72,0.502,0.924,0.0127,0,0.162,0.922,"rock, metal, pop"
7fcfNW0XxTWlwVlftzfDOR,Walk,Pantera,https://open.spotify.com/track/7fcfNW0XxTWlwVlftzfDOR,73,0.43,0.704,0.000155,0.00221,0.0933,0.703,"metal, rock"
3CIOopLwvyMvXk97ZEksKO,Ace of Spades,Moțrhead,https://open.spotify.com/track/3CIOopLwvyMvXk97ZEksKO,71,0.322,0.991,0.00313,0.0035,0.0708,0.198,"metal, rock"
2dU4FegjbgW5qkdrUdzogT,All We Are,Warlock,https://open.spotify.com/track/2dU4FegjbgW5qkdrUdzogT,49,0.495,0.835,0.00353,0,0.24,0.153,"metal, rock, singer-songwriter"
0jfNgP8sP2tnOloYDw0HoM,Small Town Boy,Paradise Lost,https://open.spotify.com/track/0jfNgP8sP2tnOloYDw0HoM,49,0.57,0.904,7.70E-05,0.849,0.0982,0.409,"metal, rock"
4fiOTntQKr24p07FvQDHZE,Raining Blood,Slayer,https://open.spotify.com/track/4fiOTntQKr24p07FvQDHZE,66,0.227,0.995,0.000405,0.393,0.127,0.0363,"metal, rock"
745H5CctFr12Mo7cqa1BMH,My Girl,The Temptations,https://open.spotify.com/track/745H5CctFr12Mo7cqa1BMH,82,0.574,0.418,0.636,0,0.0961,0.692,"soul, pop, rock"
3zBhihYUHBmGd2bcQIobrF,(Sittin' On) the Dock of the Bay,Otis Redding,https://open.spotify.com/track/3zBhihYUHBmGd2bcQIobrF,80,0.768,0.367,0.683,1.79E-05,0.081,0.532,"soul, rock, pop"
0sDeU2murnLh4yVHQ5IV70,Cry to Me,Solomon Burke,https://open.spotify.com/track/0sDeU2murnLh4yVHQ5IV70,67,0.733,0.624,0.623,0,0.407,0.912,"soul, rock, country"
1l1YTy9nJ0trwhsCGcimly,It's A Shame,The Spinners,https://open.spotify.com/track/1l1YTy9nJ0trwhsCGcimly,66,0.372,0.642,0.0947,0,0.117,0.705,"soul, pop, singer-songwriter"
2xar08Fq5xra2KKZs5Bw9j,I've Got a Woman,Ray Charles,https://open.spotify.com/track/2xar08Fq5xra2KKZs5Bw9j,66,0.556,0.61,0.833,2.22E-06,0.258,0.665,"soul, rock, pop, singer-songwriter"
0BRHnOFm6sjxN1i9LJrUDu,The Anthem,Good Charlotte,https://open.spotify.com/track/0BRHnOFm6sjxN1i9LJrUDu,73,0.494,0.939,0.00666,0,0.139,0.893,"rock, pop punk, pop, indie, Pop-punk"
23oxJmDc1V9uLUSmN2LIvx,Ocean Avenue,Yellowcard,https://open.spotify.com/track/23oxJmDc1V9uLUSmN2LIvx,71,0.486,0.904,3.43E-05,2.83E-05,0.0947,0.786,"rock, pop punk, pop, Pop-punk, indie"
5lDriBxJd22IhOH9zTcFrV,Dirty Little Secret,The All-American Rejects,https://open.spotify.com/track/5lDriBxJd22IhOH9zTcFrV,70,0.465,0.954,0.000346,5.38E-06,0.573,0.458,"rock, pop punk, pop, indie, Pop-punk"
4Ssi6tKwrTHi5qvDndrZRP,Wish You Were Here,Neck Deep,https://open.spotify.com/track/4Ssi6tKwrTHi5qvDndrZRP,70,0.53,0.496,0.428,0,0.0898,0.535,"rock, pop punk"
2Tc9VznHtQUmfOgE3L1RdN,If You Can't Hang,Sleeping With Sirens,https://open.spotify.com/track/2Tc9VznHtQUmfOgE3L1RdN,69,0.394,0.975,0.00151,0,0.118,0.466,"rock, pop punk"
2obblQ6tcePeOEVJV6nEGD,Cat's in the Cradle,Harry Chapin,https://open.spotify.com/track/2obblQ6tcePeOEVJV6nEGD,63,0.489,0.578,0.234,0,0.123,0.511,"singer-songwriter, rock, pop, country"
7uWFUpGuEfmxYeymkV95jn,Time in a Bottle,Jim Croce,https://open.spotify.com/track/7uWFUpGuEfmxYeymkV95jn,74,0.533,0.157,0.888,0,0.108,0.587,"singer-songwriter, rock, pop, country, singer songwriter"
31Tp5iKrVUayn65qhg06nE,She,Elvis Costello,https://open.spotify.com/track/31Tp5iKrVUayn65qhg06nE,63,0.333,0.28,0.427,1.88E-06,0.13,0.276,"singer-songwriter, rock, pop"
1fDsrQ23eTAVFElUMaf38X,American Pie,Don McLean,https://open.spotify.com/track/1fDsrQ23eTAVFElUMaf38X,76,0.529,0.482,0.7,0,0.0842,0.492,"singer-songwriter, rock, pop, country, indie"
62AuGbAkt8Ox2IrFFb8GKV,Sweet Caroline,Neil Diamond,https://open.spotify.com/track/62AuGbAkt8Ox2IrFFb8GKV,77,0.529,0.127,0.614,0.000133,0.237,0.579,"singer-songwriter, pop, rock"
0QIYINh2AwmOmdu8CRYvlw,Bonfire,Knife Party,https://open.spotify.com/track/0QIYINh2AwmOmdu8CRYvlw,59,0.536,0.944,0.000117,0.00345,0.353,0.589,EDM
6jq6rcOikCZAmjliAgAmfT,Light,San Holo,https://open.spotify.com/track/6jq6rcOikCZAmjliAgAmfT,56,0.57,0.763,0.0857,2.49E-06,0.0932,0.43,"EDM, pop"
31oMgUpAn5VNb3mXshUM8m,This Time (Never Be Alone Again),Dada Life,https://open.spotify.com/track/31oMgUpAn5VNb3mXshUM8m,55,0.624,0.871,0.0479,0.00445,0.461,0.219,EDM
5WSL7UTa38jMWoBzObD4BD,I Can't Stop,Flux Pavilion,https://open.spotify.com/track/5WSL7UTa38jMWoBzObD4BD,53,0.524,0.601,0.00108,0.601,0.398,0.314,EDM
4UZifG6wVTl3dFIeHKLi8y,Promises,NERO,https://open.spotify.com/track/4UZifG6wVTl3dFIeHKLi8y,53,0.484,0.943,3.77E-05,0.00452,0.593,0.345,"pop, EDM"
7EkWXAI1wn8Ii883ecd9xr,Freaks,Surf Curse,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr,82,0.345,0.941,3.84E-05,0.633,0.0511,0.407,"indie, pop"
4sNG6zQBmtq7M8aeeKJRMQ,Brazil,Declan McKenna,https://open.spotify.com/track/4sNG6zQBmtq7M8aeeKJRMQ,82,0.687,0.617,0.0941,1.27E-05,0.0898,0.665,"indie, rock, pop"
2tznHmp70DxMyr2XhWLOW0,Cigarette Daydreams,Cage The Elephant,https://open.spotify.com/track/2tznHmp70DxMyr2XhWLOW0,80,0.636,0.676,0.0807,0,0.0831,0.273,"indie, rock"
6MpCaSIOfqBqbMED4kXgNY,Prom Queen,Beach Bunny,https://open.spotify.com/track/6MpCaSIOfqBqbMED4kXgNY,78,0.528,0.797,0.000391,0.011,0.14,0.751,"indie, pop, rock"
0GO8y8jQk1PkHzS31d699N,Tongue Tied,GROUPLOVE,https://open.spotify.com/track/0GO8y8jQk1PkHzS31d699N,79,0.56,0.936,0.00847,0,0.161,0.371,"indie, rock, pop"
629DixmZGHc7ILtEntuiWE,LUNCH,Billie Eilish,https://open.spotify.com/track/629DixmZGHc7ILtEntuiWE,95,0.893,0.4,0.0452,0.0823,0.0632,0.945,"pop, rock"
5O2P9iiztwhomNh8xkR9lJ,Night Changes,One Direction,https://open.spotify.com/track/5O2P9iiztwhomNh8xkR9lJ,86,0.672,0.52,0.859,0,0.115,0.37,"pop, rock"
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,87,0.501,0.405,0.751,0,0.105,0.446,"pop, indie, singer-songwriter"
1kuGVB7EU95pJObxwvfwKS,vampire,Olivia Rodrigo,https://open.spotify.com/track/1kuGVB7EU95pJObxwvfwKS,85,0.484,0.53,0.154,0,0.263,0.323,"pop, singer-songwriter, indie, rock, pop punk"
7snQQk1zcKl8gZ92AnueZW,Sweet Child O' Mine,Guns N' Roses,https://open.spotify.com/track/7snQQk1zcKl8gZ92AnueZW,85,0.445,0.952,0.09,0.0843,0.112,0.624,"rock, metal, pop"
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,Fleetwood Mac,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz,85,0.828,0.492,0.0644,0.00428,0.128,0.789,"rock, pop"
5UWwZ5lm5PKu6eKsHAGxOk,Everlong,Foo Fighters,https://open.spotify.com/track/5UWwZ5lm5PKu6eKsHAGxOk,84,0.413,0.881,5.99E-05,0.000308,0.0805,0.364,"rock, indie, pop"
3ZOEytgrvLwQaqXreDs2Jx,Can't Stop,Red Hot Chili Peppers,https://open.spotify.com/track/3ZOEytgrvLwQaqXreDs2Jx,83,0.618,0.938,0.0179,0,0.167,0.875,"rock, indie, pop"
