songID,name,artists,link,popularity,danceability,energy,acousticness,instrumentalness,liveness,valence,genres,E_High,E_Avg,E_Low,A_High,A_Avg,A_Low,C_High,C_Avg,C_Low,N_High,N_Avg,N_Low,O_High,O_Avg,O_Low,userTotal
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B,86,0.352,0.911,0.00121,0.0,0.0995,0.236,"rock, indie, pop",0.4838709677419355,0.25806451612903225,0.25806451612903225,0.3225806451612903,0.41935483870967744,0.25806451612903225,0.3870967741935484,0.41935483870967744,0.1935483870967742,0.3870967741935484,0.3548387096774194,0.25806451612903225,0.3225806451612903,0.16129032258064516,0.5161290322580645,31
70LcF31zb1H0PyJoS1Sx1r,Creep,Radiohead,https://open.spotify.com/track/70LcF31zb1H0PyJoS1Sx1r,85,0.515,0.43,0.0097,0.000133,0.129,0.104,"rock, indie, pop, singer-songwriter",0.39622641509433965,0.3018867924528302,0.3018867924528302,0.3018867924528302,0.4716981132075472,0.22641509433962265,0.33962264150943394,0.3584905660377358,0.3018867924528302,0.2830188679245283,0.4716981132075472,0.24528301886792453,0.32075471698113206,0.22641509433962265,0.4528301886792453,53
3qhlB30KknSejmIvZZLjOD,End of Beginning,Djo,https://open.spotify.com/track/3qhlB30KknSejmIvZZLjOD,93,0.689,0.454,0.0351,0.00259,0.0707,0.912,"indie, pop",0.4878048780487805,0.24390243902439024,0.2682926829268293,0.36585365853658536,0.43902439024390244,0.1951219512195122,0.43902439024390244,0.36585365853658536,0.1951219512195122,0.24390243902439024,0.4146341463414634,0.34146341463414637,0.3170731707317073,0.2682926829268293,0.4146341463414634,41
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,Mitski,https://open.spotify.com/track/3vkCueOmm7xQDoJ17W1Pm3,89,0.504,0.308,0.868,0.135,0.158,0.121,"indie, singer-songwriter, pop, rock",0.49122807017543857,0.2631578947368421,0.24561403508771928,0.3157894736842105,0.47368421052631576,0.21052631578947367,0.40350877192982454,0.38596491228070173,0.21052631578947367,0.2982456140350877,0.42105263157894735,0.2807017543859649,0.3684210526315789,0.22807017543859648,0.40350877192982454,57
3USxtqRwSYz57Ewm6wWRMp,Heat Waves,Glass Animals,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp,87,0.761,0.525,0.44,6.7e-06,0.0921,0.531,"indie, pop, rap, EDM",0.5588235294117647,0.23529411764705882,0.20588235294117646,0.23529411764705882,0.5,0.2647058823529412,0.5,0.35294117647058826,0.14705882352941177,0.2647058823529412,0.4117647058823529,0.3235294117647059,0.4117647058823529,0.17647058823529413,0.4117647058823529,34
4xqrdfXkTW4T0RauPLv3WA,Heather,Conan Gray,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,84,0.357,0.425,0.584,0.0,0.322,0.27,"pop, indie, singer-songwriter",0.4523809523809524,0.30952380952380953,0.23809523809523808,0.30952380952380953,0.47619047619047616,0.21428571428571427,0.35714285714285715,0.35714285714285715,0.2857142857142857,0.2857142857142857,0.47619047619047616,0.23809523809523808,0.40476190476190477,0.14285714285714285,0.4523809523809524,42
6dBUzqjtbnIa1TwYbyw5CM,Lovers Rock,TV Girl,https://open.spotify.com/track/6dBUzqjtbnIa1TwYbyw5CM,86,0.559,0.871,7.53e-06,0.00545,0.096,0.572,"pop, indie",0.4444444444444444,0.25925925925925924,0.2962962962962963,0.2962962962962963,0.5185185185185185,0.18518518518518517,0.2962962962962963,0.48148148148148145,0.2222222222222222,0.5185185185185185,0.2222222222222222,0.25925925925925924,0.4074074074074074,0.25925925925925924,0.3333333333333333,27
779mhz1mAry946r91qzR1r,Cheerleader,Porter Robinson,https://open.spotify.com/track/779mhz1mAry946r91qzR1r,59,0.466,0.706,0.000202,0.0,0.048,0.278,"pop, indie, rock, pop punk, EDM",0.5,0.2222222222222222,0.2777777777777778,0.5,0.3333333333333333,0.16666666666666666,0.2777777777777778,0.4444444444444444,0.2777777777777778,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.3333333333333333,0.2777777777777778,0.3888888888888889,18
2SHnUyZq0zwmvRIl4WY77G,Alive,Krewella,https://open.spotify.com/track/2SHnUyZq0zwmvRIl4WY77G,50,0.663,0.822,0.00413,0.00318,0.234,0.567,"pop, EDM, indie",0.7272727272727273,0.09090909090909091,0.18181818181818182,0.45454545454545453,0.45454545454545453,0.09090909090909091,0.18181818181818182,0.7272727272727273,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.2727272727272727,0.2727272727272727,11
6YUTL4dYpB9xZO5qExPf05,Summer,Calvin Harris,https://open.spotify.com/track/6YUTL4dYpB9xZO5qExPf05,85,0.596,0.856,0.0211,0.0178,0.141,0.743,"pop, singer-songwriter, EDM",0.5405405405405406,0.21621621621621623,0.24324324324324326,0.32432432432432434,0.40540540540540543,0.2702702702702703,0.43243243243243246,0.4594594594594595,0.10810810810810811,0.21621621621621623,0.40540540540540543,0.3783783783783784,0.40540540540540543,0.21621621621621623,0.3783783783783784,37
